Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist,$93K - $168K (Glassdoor est.),"GALE is a creative media consultancy that brings business insights to brand storytelling and activates it across every channel. With expertise in business strategy, media, CRM, addressable and integrated brand communications, performance marketing, and technology, GALE creates marketing systems and communications that grow businesses. GALE delivers strong outcomes for its partners in automotive, QSR, retail, gaming, entertainment, telecom and more. Founded in 2014, the agency currently has offices in New York, Detroit, Singapore, Toronto, Austin, Los Angeles, London, and Bengaluru.
Some Brands We Work With: Chipotle, Seagate, T-Mobile, NBA, MGM, Allstate, Resorts World Genting, BMO, and Santander.
If you’re driven by a passion to build something great, a desire to innovate, and a commitment to achieve excellence in your craft, GALE is a great place for you.",3.6,"GALE Partners
3.6","Austin, TX",201 to 500 Employees,2014,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$95K,"AdVon Commerce started with a vision: Solve e-commerce problems for retailers and publishers.
Our customers are so happy with our technology and are constantly asking us to expand our offerings. Hence, AdVon is pushing to increase the speed, efficiency, and resiliency of all our software. Armed with great technical talent our expanded product offering will be designed for the cloud and automatically handle infrastructure, optimization, availability, data protection, and more, so our publishers and retailers can focus on their core competencies, not managing tech solutions.
In our effort to expand the AdVon product offering we are actively hiring talented senior software engineers who can be part of a world class team which is already building a whole new product area for AdVon. This role is a unique opportunity to make a significant impact on our elastic, large scale, high-performance computing environment.",-1,AdVon Commerce,"Dublin, OH",-1,-1,-1,-1,-1,-1
Data Scientist,$64K - $121K (Glassdoor est.),"At Ezoic, we build a platform to help online publishers (i.e. Internet websites) improve their monetization and ensure a fantastic user experience. Our all-in-one digital publishing platform offers a comprehensive suite of tools that automate many of the technical aspects of running a successful website so publishers can focus on connecting with their audience and writing great content.
Artificial Intelligence is at the core of everything that we do, and we are looking for a motivated, creative, results-oriented data scientist to develop novel, scalable models that improve website experiences for tens of millions of visitors each day. This is a high-impact position that will contribute to the very heart of our product.
What you'll do:
Develop machine learning models using our in-house neural network architecture, open-source tools, or custom solutions built from scratch.",4.5,"Ezoic
4.5","Carlsbad, CA",51 to 200 Employees,2010,Company - Private,Research & Development,Business Services,$100 to $500 million (USD)
Data Scientist,-1,"SparkCognition catalyzes sustainable growth for their clients throughout the world with proven artificial intelligence (AI) systems, award-winning machine learning technology, and a multinational team of AI thought leaders. Clients are trusted with advancing lives, infrastructure, sustainability, and financial systems across the globe. They partner with SparkCognition to understand their industry’s most pressing challenges, analyze complex data, empower decision-making, and transform human and industrial productivity. With leading-edge artificial intelligence products, SparkCognition’s clients can adapt to a rapidly changing digital landscape and accelerate their business strategies.
If you were already working for us, you would be:
Partnering with project teams in developing and applying ML expertise in developing and delivering customer solutions",4.0,"SparkCognition
4.0",California,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Staff Data Scientist - Recommendations,Employer Provided Salary:$179K - $260K,"Your Job
Your Job
The Match Recommendations team builds machine learning models that recommend best-match jobs to job seekers on Indeed. The team’s mission is to build the world’s best AI matchmaker that can connect all jobseekers with their next job. To achieve this, the team leverages unparalleled rich data and state-of-the-art machine learning systems to deliver the highest quality matches to jobseekers and employers.

As a Principal Data Scientist on the Match Recommendations team, you will:
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time",4.4,"Indeed
4.4",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Principal Data Scientist- Tableau,Employer Provided Salary:$96K - $145K,"Requisition ID: R10026850
Category: Research And Sciences
Location: Chandler - AZ, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: Yes- May Consider Occasional/Part-Time Teleworking for this position
Shift: Days (United States Of America)
Travel Required: No
Positions Available: 1

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.",4.0,"Northrop Grumman
4.0","Chandler, AZ",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Sr. Data Scientist,Employer Provided Salary:$110K - $120K,"Position Summary
We're looking for a data engineer who is versed in cloud-based distributed data processing technologies and is comfortable reasoning about batch-processing and more real-time data processing use cases. This engineer should understand how to interact with both unstructured and structured data, creating systems to ultimately shape data in a timely manner and into a format that answer's the business's and customer's most important questions. More specifically, this work will involve helping our Finance team automate the monthly financial processing, budgeting and forecasting, and reporting for our clients. Candidates ideally have had a couple of years of experience with the Apache Spark ecosystem and a strong SQL understanding.
Please note this is not a remote opportunity*
About Cardone Ventures",4.7,"Cardone Ventures
4.7","Scottsdale, AZ",51 to 200 Employees,2019,Unknown,Consulting,Business Services,$25 to $50 million (USD)
Principal OR Sr Principal Data Scientist,Employer Provided Salary:$112K - $167K,"Requisition ID: R10014468
Category: Research and Sciences
Location: San Diego - CA, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 10% of the Time
Positions Available: 1

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.",4.0,"Northrop Grumman
4.0","San Diego, CA",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,$64K - $124K (Glassdoor est.),"About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making.",3.4,"Cyient
3.4","Phoenix, AZ",10000+ Employees,1991,Company - Public,IT Services,Information Technology,$100 to $500 million (USD)
Data Scientist I,-1,"Responsibilities:
Gathers requirements and program model development under direction of other Data Scientists to inform problem formulation.
Participates in model building.
Utilizes methods particularly in the areas of modeling, Artificial Intelligence (AI), Machine Learning (ML), Deep Learning (DL), Natural Language Processing (NLP) and experience designing/implementing solutions.
Provides insight and recommendations to solve business problem and help inform business decisions.
Documents best practices and solution frameworks. Replicates and scales solutions to business units with common/similar business needs.",3.8,"Cleveland Clinic
3.8","Cleveland, OH",10000+ Employees,1921,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
